key,title,description,estimated-cost,acceptance-criteria,priority,optional-link,draft-mode,key:manager
user-story-01,Test title,Test description,10,Test acceptance criteria,MUST,https://www.example.com,false,manager-01
user-story-02,a,User Story con title de 1 caracter,10,Test acceptance criteria,MUST,https://www.example.com,false,manager-02
user-story-03,Lorem ipsum dolor sit amets consectetur adipiscing elits aenean massa nunc,User Story con title de 75 caracteres,10,Test acceptance criteria,WONT,https://www.example.com,false,manager-03
user-story-04,title 貸んい建濯よ芝弾テソ,User Story con caracteres extranjeros en el title,30,Test acceptance criteria,SHOULD,https://www.example.com,false,manager-04
user-story-05,User Story con description de 1 caracter,a,10,Test acceptance criteria,COULD,https://www.example.com,false,manager-05
user-story-06,User Story con description de 100 caracteres,Lorem ipsum dolor sit amets consectetur adipiscing elits Curabitur tortor lectuss viverra non augues,10,Test acceptance criteria,MUST,https://www.example.com,false,manager-06
user-story-07,User Story con caracteres extranjeros en description,descripcion 貸んい建濯よ芝弾テソ,10,Test acceptance criteria,SHOULD,https://www.example.com,false,manager-07
user-story-08,User Story con acceptanceCriteria de 1 caracter,Test description,5,a,MUST,https://www.example.com,true,manager-08
user-story-09,User Story con acceptanceCriteria de 100 caracteres,Test description,10,Lorem ipsum dolor sit amets consectetur adipiscing elits Curabitur tortor lectuss viverra non augues,MUST,https://www.example.com,false,manager-09
user-story-10,User Story con caracteres extranjeros en acceptanceCriteria,Test description,10,acceptance criteria 貸んい建濯よ芝弾テソ,MUST,https://www.example.com,true,manager-09
user-story-11,User Story con priority Must,Test description,10,Test acceptance criteria,MUST,https://www.example.com,true,manager-10
user-story-12,User Story con priority Should,Test description,10,Test acceptance criteria,SHOULD,https://www.example.com,false,manager-05
user-story-13,User Story con priority Could,Test description,10,Test acceptance criteria,COULD,https://www.example.com,false,manager-01
user-story-14,User Story con priority Wont,Test description,27,Test acceptance criteria,WONT,https://www.example.com,false,manager-02
user-story-15,User Story sin link,Test description,10,Test acceptance criteria,MUST,,false,manager-03
user-story-16,User Story con link null,Test description,10,Test acceptance criteria,MUST,null,false,manager-04
